97,600843,上工申贝,详细,0.1826,14.95亿,-2.46,13.13,1.00亿,-20.49,20.18,4.0361,4.56,-0.1052,29.59,不分配不转增,机械行业,08-31,http://data.eastmoney.com/bbsj/600843.html
98,000737,*ST南风,详细,-0.2082,10.35亿,10.17,2.20,-1.14亿,28.59,-55.03,-0.6651,-,-0.0998,24.43,不分配不转增,化工行业,08-31,http://data.eastmoney.com/bbsj/000737.html
99,000729,燕京啤酒,详细,0.18,63.75亿,0.57,-5.64,5.07亿,3.06,735.60,4.7388,3.87,0.3834,42.42,不分配不转增,酿酒行业,08-31,http://data.eastmoney.com/bbsj/000729.html
100,000712,锦龙股份,详细,-0.054,4.80亿,-6.05,-49.18,-4825万,-149.88,-329.25,4.0016,-1.31,1.7614,-,不分配不转增,多元金融,08-31,http://data.eastmoney.com/bbsj/000712.html
101,000690,宝新能源,详细,0.22,19.59亿,47.61,14.23,4.88亿,82.54,560.15,4.0668,5.61,0.285,35.99,不分配不转增,电力行业,08-31,http://data.eastmoney.com/bbsj/000690.html
102,000680,山推股份,详细,0.0604,46.03亿,32.19,17.63,7494万,33.68,-21.78,2.7228,2.24,-0.1682,15.03,不分配不转增,机械行业,08-31,http://data.eastmoney.com/bbsj/000680.html
103,000573,粤宏远A,详细,-0.0477,1.30亿,-59.06,4.06,-3082万,-144.27,-54.02,2.5655,-1.85,0.1139,19.10,不分配不转增,房地产,08-31,http://data.eastmoney.com/bbsj/000573.html
104,000567,海德股份,详细,0.1703,1.66亿,98.30,-1.06,5052万,34.93,20.49,9.2071,2.31,-4.0269,-,不分配不转增,多元金融,08-31,http://data.eastmoney.com/bbsj/000567.html
105,000561,烽火电子,详细,0.03,4.69亿,6.33,65.31,1985万,20.47,303.72,2.1512,1.54,-0.0101,44.72,不分配不转增,通讯行业,08-31,http://data.eastmoney.com/bbsj/000561.html
106,000552,靖远煤电,详细,0.1489,21.94亿,13.03,-16.06,3.40亿,21.74,-17.38,3.0983,4.66,0.068,29.44,不分配不转增,煤炭采选,08-31,http://data.eastmoney.com/bbsj/000552.html
107,000540,中天金融,详细,0.6765,65.62亿,-32.11,-37.07,47.39亿,232.97,477.46,2.9204,25.75,-0.5551,35.88,不分配不转增,房地产,08-31,http://data.eastmoney.com/bbsj/000540.html
108,000539,粤电力A,详细,0.0855,139亿,12.19,39.05,4.49亿,248.65,7611.40,4.5097,1.88,0.7229,12.19,不分配不转增,电力行业,08-31,http://data.eastmoney.com/bbsj/000539.html
109,200539,粤电力B,详细,0.0855,139亿,12.19,39.05,4.49亿,248.65,7611.40,4.5097,1.88,0.7229,12.19,不分配不转增,电力行业,08-31,http://data.eastmoney.com/bbsj/200539.html
110,000885,城发环境,详细,0.5794,9.29亿,-64.61,21.01,2.88亿,-24.89,23.53,4.3285,14.31,1.086,59.85,不分配不转增,高速公路,08-31,http://data.eastmoney.com/bbsj/000885.html
111,000882,华联股份,详细,0.1084,5.96亿,20.23,-8.54,2.97亿,1001.02,4826.51,2.9399,3.75,-0.0076,42.42,不分配不转增,商业百货,08-31,http://data.eastmoney.com/bbsj/000882.html
112,000881,中广核技,详细,0.1088,28.75亿,5.10,16.82,1.15亿,-20.54,238.33,5.1391,2.12,0.0935,18.74,不分配不转增,综合行业,08-31,http://data.eastmoney.com/bbsj/000881.html
113,000876,新希望,详细,0.2,316亿,6.22,13.71,8.46亿,-25.20,-59.86,4.9179,3.97,0.2939,8.19,不分配不转增,农牧饲渔,08-31,http://data.eastmoney.com/bbsj/000876.html
114,600747,ST大控,详细,-0.01,7.66亿,450.30,2832.34,-1438万,24.56,-437.44,1.3511,-0.74,-0.0459,1.98,不分配不转增,国际贸易,08-31,http://data.eastmoney.com/bbsj/600747.html
115,600745,闻泰科技,详细,-0.28,54.26亿,-31.21,116.06,-1.77亿,-201.47,-109.91,5.2598,-5.14,-0.6256,8.15,不分配不转增,通讯行业,08-31,http://data.eastmoney.com/bbsj/600745.html
116,600744,华银电力,详细,-0.01,43.12亿,30.61,-25.00,-1853万,95.95,-260.52,1.6665,-0.62,0.65,5.76,不分配不转增,电力行业,08-31,http://data.eastmoney.com/bbsj/600744.html
