scode,sname,trademarket,reportdate,frdate,fcdate,scdate,tcdate,radate,securitytypecode,trademarketcode
603101,汇嘉时代,上交所主板,2018-06-30T00:00:00,2018-07-31T00:00:00,-,-,-,2018-07-31T00:00:00,058001001,069001001001
002771,真视通,深交所中小板,2018-06-30T00:00:00,2018-07-31T00:00:00,-,-,-,2018-07-31T00:00:00,058001001,069001002003
300463,迈克生物,深交所创业板,2018-06-30T00:00:00,2018-07-31T00:00:00,-,-,-,2018-07-31T00:00:00,058001001,069001002002
300455,康拓红外,深交所创业板,2018-06-30T00:00:00,2018-07-31T00:00:00,-,-,-,2018-07-31T00:00:00,058001001,069001002002
002761,多喜爱,深交所中小板,2018-06-30T00:00:00,2018-07-31T00:00:00,-,-,-,2018-07-31T00:00:00,058001001,069001002003
603369,今世缘,上交所主板,2018-06-30T00:00:00,2018-07-31T00:00:00,-,-,-,2018-07-31T00:00:00,058001001,069001001001
603010,万盛股份,上交所主板,2018-06-30T00:00:00,2018-07-31T00:00:00,-,-,-,2018-07-31T00:00:00,058001001,069001001001
002702,海欣食品,深交所中小板,2018-06-30T00:00:00,2018-07-31T00:00:00,-,-,-,2018-07-31T00:00:00,058001001,069001002003
300379,东方通,深交所创业板,2018-06-30T00:00:00,2018-07-31T00:00:00,-,-,-,2018-07-31T00:00:00,058001001,069001002002
300335,迪森股份,深交所创业板,2018-06-30T00:00:00,2018-07-31T00:00:00,-,-,-,2018-07-31T00:00:00,058001001,069001002002
300298,三诺生物,深交所创业板,2018-06-30T00:00:00,2018-07-31T00:00:00,-,-,-,2018-07-31T00:00:00,058001001,069001002002
000929,兰州黄河,深交所主板,2018-06-30T00:00:00,2018-07-31T00:00:00,-,-,-,2018-07-31T00:00:00,058001001,069001002001
002360,同德化工,深交所中小板,2018-06-30T00:00:00,2018-07-31T00:00:00,-,-,-,2018-07-31T00:00:00,058001001,069001002003
300146,汤臣倍健,深交所创业板,2018-06-30T00:00:00,2018-07-31T00:00:00,-,-,-,2018-07-31T00:00:00,058001001,069001002002
300123,亚光科技,深交所创业板,2018-06-30T00:00:00,2018-07-31T00:00:00,-,-,-,2018-07-31T00:00:00,058001001,069001002002
002395,双象股份,深交所中小板,2018-06-30T00:00:00,2018-07-31T00:00:00,-,-,-,2018-07-31T00:00:00,058001001,069001002003
002549,凯美特气,深交所中小板,2018-06-30T00:00:00,2018-07-31T00:00:00,-,-,-,2018-07-31T00:00:00,058001001,069001002003
002485,希努尔,深交所中小板,2018-06-30T00:00:00,2018-07-31T00:00:00,2018-08-15T00:00:00,-,-,2018-08-15T00:00:00,058001001,069001002003
002341,新纶科技,深交所中小板,2018-06-30T00:00:00,2018-07-31T00:00:00,2018-08-10T00:00:00,-,-,2018-08-10T00:00:00,058001001,069001002003
300014,亿纬锂能,深交所创业板,2018-06-30T00:00:00,2018-07-31T00:00:00,-,-,-,2018-07-31T00:00:00,058001001,069001002002
300037,新宙邦,深交所创业板,2018-06-30T00:00:00,2018-07-31T00:00:00,-,-,-,2018-07-31T00:00:00,058001001,069001002002
300245,天玑科技,深交所创业板,2018-06-30T00:00:00,2018-07-31T00:00:00,-,-,-,2018-07-31T00:00:00,058001001,069001002002
002471,中超控股,深交所中小板,2018-06-30T00:00:00,2018-07-31T00:00:00,-,-,-,2018-07-31T00:00:00,058001001,069001002003
002249,大洋电机,深交所中小板,2018-06-30T00:00:00,2018-07-31T00:00:00,-,-,-,2018-07-31T00:00:00,058001001,069001002003
