scode,sname,securitytype,trademarket,ldate,rdate,basiceps,yysr,ys,yshz,qntqys,jlr,lr,sjlhz,qntqjlr,parentbvps,roeweighted,publishname,securitytypecode,trademarketcode
002045,国光电器,A股,深交所中小板,2018-07-31T00:00:00,2018-06-30T00:00:00,0.03,1668927250.0,19.834310420214504,-10.961597833005797,1392695668.0,13983263.0,-59.387738470203246,-76.73829192262698,34431136.0,4.03,0.97,电子元件,058001001,069001002003
002398,建研集团,A股,深交所中小板,2018-07-31T00:00:00,2018-06-30T00:00:00,0.17,1154426038.64,40.63937476590167,53.94983874466256,820841276.18,116950355.03,49.10157600328524,47.49868149048918,78436699.44,3.36,5.05,工程建设,058001001,069001002003
002431,棕榈股份,A股,深交所中小板,2018-07-31T00:00:00,2018-06-30T00:00:00,0.07,2352293555.84,10.631391522606984,165.75865271416552,2126244209.23,106116262.01,25.870358293691346,1853.6147966772521,84305998.21,3.74,1.91,园林工程,058001001,069001002003
002379,宏创控股,A股,深交所中小板,2018-07-31T00:00:00,2018-06-30T00:00:00,0.0048,707478292.36,2.1151164681551062,27.06025430909358,692824252.5,4410486.91,-84.52134845803769,177.1005557241491,28493999.61,1.351,0.35,材料行业,058001001,069001002003
002589,瑞康医药,A股,深交所中小板,2018-07-31T00:00:00,2018-06-30T00:00:00,0.386,15507617700.0,49.206821477034815,17.517929036950484,10393370454.84,580199900.0,12.852865329596947,6.999722311394474,514120663.49,5.54,7.17,医药制造,058001001,069001002003
002399,海普瑞,A股,深交所中小板,2018-07-31T00:00:00,2018-06-30T00:00:00,0.176,2004354083.3,90.88348187217987,51.15262194921746,1050040613.07,219095060.68,2840.836835288795,321.8018625576514,7450092.37,6.12,2.87,医药制造,058001001,069001002003
002373,千方科技,A股,深交所中小板,2018-07-31T00:00:00,2018-06-30T00:00:00,0.22,2874810600.0,49.93746768206496,21.30986058885392,1917339704.64,286199200.0,52.636353080751185,82.17650119543535,187503955.79,5.11,4.6,软件服务,058001001,069001002003
002663,普邦股份,A股,深交所中小板,2018-07-31T00:00:00,2018-06-30T00:00:00,0.055,1630365700.0,2.6197275290186033,32.13709102151985,1588744912.17,99178200.0,6.194393137063708,789.2173353520196,93393066.31,2.88,1.93,园林工程,058001001,069001002003
002422,科伦药业,A股,深交所中小板,2018-07-31T00:00:00,2018-06-30T00:00:00,0.54,7792426337.0,57.67832306765273,-1.8250145710981869,4941976922.0,774021351.0,202.17481395006752,1.9895803234986842,256150187.0,8.78,6.34,医药制造,058001001,069001002003
002322,理工环科,A股,深交所中小板,2018-07-31T00:00:00,2018-06-30T00:00:00,0.19,309169932.4,-4.999119900094566,145.18633488391558,325439019.17,76784214.38,-26.033634629375303,355.65954396544146,103809635.63,7.32,2.51,输配电气,058001001,069001002003
002236,大华股份,A股,深交所中小板,2018-07-31T00:00:00,2018-06-30T00:00:00,0.37,9814041352.48,31.473300392620153,71.2820215110824,7464664934.38,1081916886.52,10.062619878792392,166.10225651605987,983001211.23,3.79,9.91,安防设备,058001001,069001002003
002214,大立科技,A股,深交所中小板,2018-07-31T00:00:00,2018-06-30T00:00:00,0.045,153805918.76,2.0532418920887103,89.96225230396156,150711448.17,20631786.38,19.492286958272665,804.3980148854962,17266207.64,2.19,2.06,安防设备,058001001,069001002003
002224,三力士,A股,深交所中小板,2018-07-31T00:00:00,2018-06-30T00:00:00,0.1,416430917.35,0.2570302019758508,30.75383668780595,415363308.2,68101567.04,-19.899148267486257,157.62598923183734,85019778.9,2.6,4.02,塑胶制品,058001001,069001002003
002420,毅昌股份,A股,深交所中小板,2018-07-31T00:00:00,2018-06-30T00:00:00,-0.0848,2470952013.86,-7.326119408134445,-16.507190790380434,2666287413.54,-34019199.78,35.047011548126555,-2235.7142682751546,-52375110.97,2.86,-2.92,家电行业,058001001,069001002003
002188,*ST巴士,A股,深交所风险警示板,2018-07-31T00:00:00,2018-06-30T00:00:00,-0.5,67297851.3,-78.26729124583768,1.0847863648329399,309661589.18,-146828273.09,-2439.4664824471315,22.88407321689361,-5781855.13,-0.46,-233.51,电子元件,058001001,069001002005
002191,劲嘉股份,A股,深交所中小板,2018-07-31T00:00:00,2018-06-30T00:00:00,0.25,1608801600.0,13.144312373792646,-2.2665713857722403,1421902317.71,379017000.0,25.055069699674576,-21.8015905654981,303080075.77,4.18,5.82,包装材料,058001001,069001002003
002126,银轮股份,A股,深交所中小板,2018-07-31T00:00:00,2018-06-30T00:00:00,0.25,2625459000.0,30.804771841848954,17.907528507863002,2007158426.28,202154600.0,21.129233228840462,-2.47732519260353,166891669.84,4.35,5.88,汽车行业,058001001,069001002003
002169,智光电气,A股,深交所中小板,2018-07-31T00:00:00,2018-06-30T00:00:00,0.1054,1260072246.23,101.6770492234618,77.36838668697898,624797046.11,83065768.81,23.69135898226555,417.07728871985495,67155676.43,3.5651,2.96,输配电气,058001001,069001002003
002922,伊戈尔,A股,深交所中小板,2018-07-31T00:00:00,2018-06-30T00:00:00,0.13,489268066.82,-5.348846922558296,38.76684112049294,516917175.24,17743248.15,-53.7455640581639,1129.0259515297237,38360100.58,6.6,2.06,输配电气,058001001,069001002003
002895,川恒股份,A股,深交所中小板,2018-07-31T00:00:00,2018-06-30T00:00:00,0.073,567296512.01,-2.73356912034131,57.06547320463437,583239774.38,29642619.5,-67.05480929915036,538.0681741928983,89975559.01,4.6,1.5,化工行业,058001001,069001002003
002897,意华股份,A股,深交所中小板,2018-07-31T00:00:00,2018-06-30T00:00:00,0.21,629056600.0,13.163872559300438,30.25954778826914,555881118.04,35059800.0,-29.80493289025794,7.403070633583181,49946244.72,6.33,3.14,电子元件,058001001,069001002003
002885,京泉华,A股,深交所中小板,2018-07-31T00:00:00,2018-06-30T00:00:00,0.3977,561406252.85,18.704840139381268,-16.556479162799043,472943017.48,31815770.7,-8.906192039112334,235.26049773365213,34926381.29,5.74,4.69,电子元件,058001001,069001002003
002853,皮阿诺,A股,深交所中小板,2018-07-31T00:00:00,2018-06-30T00:00:00,0.31,443001046.09,40.844349461254446,41.7611000989217,314532352.76,48531806.54,39.89552978044994,172.918417202003,34691463.42,6.02,5.26,木业家具,058001001,069001002003
603323,吴江银行,A股,上交所主板,2018-07-31T00:00:00,2018-06-30T00:00:00,0.35,1519000000.0,11.359962464581447,17.547909950346373,1364045000.0,505000000.0,15.359224055025209,58.791214422613734,437763000.0,6.02,5.64,银行,058001001,069001001001
002810,山东赫达,A股,深交所中小板,2018-07-31T00:00:00,2018-06-30T00:00:00,0.3156,428327925.94,36.86349050290824,47.273286700027384,312959960.59,31398258.11,11.892682764893134,94.9593581088559,28061046.83,6.2872,4.54,化工行业,058001001,069001002003
002736,国信证券,A股,深交所中小板,2018-07-31T00:00:00,2018-06-30T00:00:00,0.12,4059956400.0,-25.289705352321402,-26.28799065486292,5434266347.29,1157598700.0,-42.50015022380386,-43.43075479115728,2013220390.15,6.25,2.16,券商信托,058001001,069001002003
002758,华通医药,A股,深交所中小板,2018-07-31T00:00:00,2018-06-30T00:00:00,0.097,738315913.54,11.044382999777051,-10.658487722251987,664883620.04,20398943.9,-14.525474541632338,65.08354123174847,23865524.6,3.02,3.63,医药制造,058001001,069001002003
002832,比音勒芬,A股,深交所中小板,2018-07-31T00:00:00,2018-06-30T00:00:00,0.68,675612180.5,36.50121223472213,-17.60209731288391,494949582.82,122446907.78,45.84154523010039,-55.84838303300561,83958866.17,8.04,8.24,纺织服装,058001001,069001002003
002819,东方中科,A股,深交所中小板,2018-07-31T00:00:00,2018-06-30T00:00:00,0.1,385110697.76,12.266834417642809,34.340734753466,343031581.64,10922233.32,58.13336437788945,116.5861344339606,6906975.87,3.89,2.57,仪器仪表,058001001,069001002003
002818,富森美,A股,深交所中小板,2018-07-31T00:00:00,2018-06-30T00:00:00,0.88,742835400.0,17.1837177988905,26.307873507012776,633906667.2,385845700.0,14.375770335085669,16.921121358358445,337349159.59,9.81,8.87,商业百货,058001001,069001002003
601211,国泰君安,A股,上交所主板,2018-07-31T00:00:00,2018-06-30T00:00:00,0.43,11431170000.0,2.9455136997600513,-16.94097031636877,11104097293.0,4009000000.0,-15.711192074149599,-22.571265775775615,4756266103.0,13.99,3.27,券商信托,058001001,069001001001
002709,天赐材料,A股,深交所中小板,2018-07-31T00:00:00,2018-06-30T00:00:00,1.31,941806646.87,0.7125499627478884,15.944317307470165,935143283.75,444905752.79,151.66954309619825,-91.88374213834801,176781722.3,8.43,16.49,化工行业,058001001,069001002003
002727,一心堂,A股,深交所中小板,2018-07-31T00:00:00,2018-06-30T00:00:00,0.515,4291700082.27,17.534179902984814,-3.005596504978864,3651448528.26,292457276.89,35.304277227556895,22.71998930540528,216147843.13,6.722,7.62,医药制造,058001001,069001002003
002799,环球印务,A股,深交所中小板,2018-07-31T00:00:00,2018-06-30T00:00:00,0.09,248451302.71,12.236517082087435,6.43768424875411,221364052.6,13479984.7,4.0657750855749235,-8.810464604870237,12953331.38,3.55,2.57,造纸印刷,058001001,069001002003
002693,双成药业,A股,深交所中小板,2018-07-31T00:00:00,2018-06-30T00:00:00,-0.05,176747825.19,131.248615573224,-15.43695339123145,76431949.55,-18807149.58,-7.218137429779194,-345.9863540553329,-17541015.01,1.41,-3.23,医药制造,058001001,069001002003
002237,恒邦股份,A股,深交所中小板,2018-07-31T00:00:00,2018-06-30T00:00:00,0.25,10403274944.02,1.5021658448829796,25.517171082886648,10249313260.88,226451486.48,14.688690279129593,-15.76266879529104,197448838.18,4.83,5.24,贵金属,058001001,069001002003
002623,亚玛顿,A股,深交所中小板,2018-07-31T00:00:00,2018-06-30T00:00:00,0.12,954990844.11,14.548035253948772,166.32184419708827,833703382.16,18694656.42,145.53445483958268,50.587301172898414,7613862.76,13.45,0.87,玻璃陶瓷,058001001,069001002003
002584,西陇科学,A股,深交所中小板,2018-07-31T00:00:00,2018-06-30T00:00:00,0.08,1727507962.22,8.861028125275489,24.693822026686195,1586892933.1,46368393.28,31.561580194561746,291.1300880029377,35244630.85,2.98,2.7,化工行业,058001001,069001002003
002614,奥佳华,A股,深交所中小板,2018-07-31T00:00:00,2018-06-30T00:00:00,0.26,2210331900.0,31.705307473171455,13.771729498829096,1678240567.83,144054600.0,56.10976297329445,306.4220908153917,92277764.86,5.34,4.86,家电行业,058001001,069001002003
002472,双环传动,A股,深交所中小板,2018-07-31T00:00:00,2018-06-30T00:00:00,0.19,1602937052.6,42.976949984337395,21.136816203575247,1121115713.25,128450797.98,12.257341248372612,31.25228644214369,114425298.65,5.06,3.74,机械行业,058001001,069001002003
002056,横店东磁,A股,深交所中小板,2018-07-30T00:00:00,2018-06-30T00:00:00,0.196,3056008895.34,11.596615701752661,18.55122840146035,2738442269.17,322028049.26,45.19824486804484,107.9913281557608,221785083.94,2.89,6.88,电子元件,058001001,069001002003
002243,通产丽星,A股,深交所中小板,2018-07-30T00:00:00,2018-06-30T00:00:00,0.0804,623416158.54,10.060615991717183,11.504197516584615,566429828.62,29326825.36,14.614608185633582,31.327759279501272,25587336.4,4.13,1.94,包装材料,058001001,069001002003
002233,塔牌集团,A股,深交所中小板,2018-07-30T00:00:00,2018-06-30T00:00:00,0.7226,3031430589.95,53.74883651727457,47.3656868751747,1971677092.73,861501814.3,177.34173155945805,31.839431662589874,310628266.96,7.2789,10.14,水泥建材,058001001,069001002003
002407,多氟多,A股,深交所中小板,2018-07-30T00:00:00,2018-06-30T00:00:00,0.2,1712771476.81,11.150274283811592,-1.2457281052700724,1540951192.29,130828985.71,-13.261111666020515,-28.044261396441684,150830830.58,4.44,4.57,化工行业,058001001,069001002003
603886,元祖股份,A股,上交所主板,2018-07-30T00:00:00,2018-06-30T00:00:00,0.09,716843300.0,8.564758477601034,62.81081084118696,660290972.92,21053100.0,513.7599153510357,270.5878127881235,3430184.91,4.7,1.71,食品饮料,058001001,069001001001
601366,利群股份,A股,上交所主板,2018-07-30T00:00:00,2018-06-30T00:00:00,0.33,5624053400.0,4.791300471126476,-17.117922662637127,5366908679.17,281205000.0,34.74085529991362,-21.422933069526387,208700619.7,5.6,6.01,商业百货,058001001,069001001001
002762,金发拉比,A股,深交所中小板,2018-07-30T00:00:00,2018-06-30T00:00:00,0.1,196803637.51,11.991157686474875,-0.6664445252743314,175731407.35,35319412.81,15.570734877972118,-31.25057086164787,30560862.01,2.72,3.69,纺织服装,058001001,069001002003
002801,微光股份,A股,深交所中小板,2018-07-30T00:00:00,2018-06-30T00:00:00,0.43,297517814.65,4.712800452557789,38.77125355399679,284127454.68,51077174.57,-7.16093238059639,76.79268997063123,55016897.39,7.04,6.05,机械行业,058001001,069001002003
002783,凯龙股份,A股,深交所中小板,2018-07-30T00:00:00,2018-06-30T00:00:00,0.22,818595810.27,28.74658108609654,63.34689942596905,635819455.06,71998635.67,0.7173954427799586,503.5806906363815,71485799.8,4.28,5.12,化工行业,058001001,069001002003
002371,北方华创,A股,深交所中小板,2018-07-28T00:00:00,2018-06-30T00:00:00,0.2598,1394741305.78,33.43714603653681,57.12962253383339,1045242158.73,119005628.91,125.43729284849634,574.8020253424296,52788794.35,7.45,3.61,电子元件,058001001,069001002003
002147,新光圆成,A股,深交所中小板,2018-07-28T00:00:00,2018-06-30T00:00:00,0.0816,1042762400.0,8.821541796273214,143.33975611753274,958231598.99,149236600.0,302.8954692331567,416.7689926458405,37041022.15,4.48,1.84,房地产,058001001,069001002003
