scode,hycode,companycode,sname,publishname,reporttimetypecode,combinetypecode,dataajusttype,mkt,noticedate,reportdate,parentnetprofit,totaloperatereve,totaloperateexp,totaloperateexp_tb,operateexp,operateexp_tb,saleexp,manageexp,financeexp,operateprofit,sumprofit,incometax,operatereve,intnreve,intnreve_tb,commnreve,commnreve_tb,operatetax,operatemanageexp,commreve_commexp,intreve_intexp,premiumearned,premiumearned_tb,investincome,surrenderpremium,indemnityexp,tystz,yltz,sjltz,kcfjcxsyjlr,sjlktz,eutime,yyzc
002937,016022,80650873,兴瑞科技,电子元件,002,001,2,zxb,2018-09-11T00:00:00,2018-06-30T00:00:00,48324054.78,477128418.1,422878639.75,-,351625774.97,-,18987846.67,27210904.75,-291022.89,55233726.23,55722503.36,7398448.58,-,-,-,-,-,3619554.58,-,-,-,-,-,-,-,-,-,-,-,47071552.53,-,2018/9/11 0:28:13,351625774.97
600220,016010,10000178,江苏阳光,纺织服装,002,001,2,shzb,2018-09-11T00:00:00,2018-06-30T00:00:00,41391724.88,1056611721.2,1003051847.21,0.0630227341418893,834438245.74,0.08663014134366,8480311.27,88540158.26,58162777.83,63019881.89,64303134.16,18824907.44,-,0.0,-,0.0,-,10986696.13,-,0.0,0.0,-,-,-,-,-,0.064025,0.214584,0.173028,36186990.99,0.117766716,2018/9/10 19:08:12,834438245.74
600029,016001,10001290,南方航空,民航机场,002,001,2,shzb,2018-09-11T00:00:00,2018-06-30T00:00:00,2137000000.0,67555000000.0,67196000000.0,0.14657202334232,60114000000.0,0.134590340297831,3299000000.0,1527000000.0,2036000000.0,2847000000.0,3101000000.0,696000000.0,-,-,-,-,-,108000000.0,-,-,-,-,-,-,-,-,0.119795,-0.243825,-0.227962,1835000000.0,-0.2594834544,2018/9/10 19:22:09,60114000000.0
603585,016041,80390744,苏利股份,化工行业,002,001,2,shzb,2018-09-11T00:00:00,2018-06-30T00:00:00,152613377.14,811617402.73,558274008.76,-0.000534729289921484,473151092.46,8.4061272982781e-05,16628385.71,72161202.97,-2022572.12,257657752.44,257664846.58,48544806.01,-,-,-,-,-,6359084.39,-,-,-,-,-,-,-,-,0.107128,0.422986,0.346387,146590321.07,0.3049289297,2018/9/10 17:21:04,473151092.46
300525,016057,80357676,博思软件,软件服务,002,001,2,cyb,2018-09-10T00:00:00,2018-06-30T00:00:00,-14057412.88,113512322.76,136048493.06,0.844763767250042,43725290.91,0.912970643083702,28197020.9,59197839.29,-771402.25,-16237235.77,-16252281.46,766534.46,-,-,-,-,-,1808488.04,-,-,-,-,-,-,-,-,0.511084,-4.951592,-3.88952,-14938720.12,-4.1185184985,2018/9/10 9:25:25,43725290.91
600145,016044,10000111,*ST新亿,玻璃陶瓷,002,001,2,,2018-09-07T00:00:00,2018-06-30T00:00:00,46691230.93,15759190.45,15618628.47,-0.252762150232572,14238766.31,-0.429491089798741,-,1380599.85,-737.69,140561.98,46691230.93,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.36953,-0.965668,10.466665,46691230.93,10.4666649042,2018/9/6 20:18:42,14238766.31
000987,016058,10001236,越秀金控,多元金融,002,001,2,szzb,2018-09-07T00:00:00,2018-06-30T00:00:00,187754969.76,2585757711.56,2257574902.72,0.191806028634181,-,-,-,1039217710.04,-,328182808.84,352966281.66,82636587.2,-,102838999.85,-,540207361.71,0.0109724515197746,25992558.45,-,-,-,-,-,-,-,-,0.107248,-0.255911,-0.271251,174872244.59,-0.2609629067,2018/9/6 19:08:08,-
002224,016018,80107841,三力士,塑胶制品,002,001,2,zxb,2018-09-07T00:00:00,2018-06-30T00:00:00,66437898.97,417078631.05,323657229.43,-0.0084158024524677,274268179.14,0.0897139791840274,13783368.52,38346246.11,-11571898.98,77153969.0,77962305.41,12549299.27,-,-,-,-,-,5579579.41,-,-,-,-,-,-,-,-,0.00413,-0.214306,-0.218559,79695502.75,0.0293980822,2018/9/6 19:06:37,274268179.14
300740,016041,80635534,御家汇,化工行业,002,001,2,cyb,2018-09-06T00:00:00,2018-06-30T00:00:00,65033780.96,980749136.99,903617059.62,0.647178620579916,453375256.36,0.572009626693512,370347896.04,67060095.65,517269.07,82819908.11,82718483.93,18571238.05,-,-,-,-,-,8193790.3,-,-,-,-,-,-,-,-,0.577843,0.134654,0.190465,63509482.21,0.0342689474,2018/9/5 21:02:47,453375256.36
603963,016024,80473158,大理药业,医药制造,002,001,2,shzb,2018-09-05T00:00:00,2018-06-30T00:00:00,885827.76,202985565.09,206008419.86,1.18816796398717,38549231.76,-0.27759569977128,137672924.81,23625635.25,479405.24,925820.21,1032715.85,146888.09,-,-,-,-,-,4715921.16,-,-,-,-,-,-,-,-,0.560353,-0.974336,-0.971581,-3138472.16,-1.1026171899,2018/9/4 19:56:49,38549231.76
002366,016043,80138988,台海核电,机械行业,002,001,2,zxb,2018-09-05T00:00:00,2018-06-30T00:00:00,436871850.65,972395341.41,493850710.17,-0.0710572734606593,292184509.39,-0.285941501133913,6971749.9,102572425.69,86175380.65,519433235.38,518173023.71,79997546.35,-,-,-,-,-,5974144.54,-,-,-,-,-,-,-,-,-0.075697,-0.001867,0.025956,403740020.19,-0.0469448375,2018/9/4 17:10:44,292184509.39
300748,016040,80341259,金力永磁,材料行业,002,001,2,cyb,2018-09-05T00:00:00,2018-06-30T00:00:00,52182405.44,615906838.47,564189587.91,0.704614127169458,486943193.58,0.829351811325559,9579984.19,21231805.13,12589058.53,59654745.17,59859807.65,8561264.57,-,-,-,-,-,4005243.25,-,-,-,-,-,-,-,-,0.629391,-0.197866,-0.221944,44035789.8,0.0663807791,2018/9/5 0:10:19,486943193.58
600179,016003,10000141,安通控股,交运物流,002,001,2,shzb,2018-09-05T00:00:00,2018-06-30T00:00:00,338108903.54,4614980201.82,4240251153.7,0.877908226791417,3963879006.95,0.914117726292519,25315997.9,98648938.48,134037571.68,436999911.58,436730893.84,98621990.3,-,-,-,-,-,6834093.39,-,-,-,-,-,-,-,-,0.798009,0.267127,0.480103,276305151.73,0.2430896881,2018/9/4 19:51:14,3963879006.95
603810,016050,80146069,丰山集团,农药兽药,002,001,2,shzb,2018-09-04T00:00:00,2018-06-30T00:00:00,85576688.03,801948626.85,705670444.94,-,593975453.67,-,44400092.05,26036922.74,5241503.31,99181383.43,100156089.73,14579401.7,-,-,-,-,-,2664929.42,-,-,-,-,-,-,-,-,-,-,-,82262069.9,-,2018/9/4 1:52:06,593975453.67
